127.0.0.1 - - [08/Mar/2021:23:53:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:31 +0900] "GET /VapeWeb/WEB-INF/board/community.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:36 +0900] "GET /VapeWeb/main.do HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:36 +0900] "GET /VapeWeb/main.do HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:36 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:38 +0900] "GET /VapeWeb/communityListAction.do?page=1 HTTP/1.1" 200 11443
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:38 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:41 +0900] "GET /VapeWeb/login.do HTTP/1.1" 200 8126
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:41 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:44 +0900] "POST /VapeWeb/loginAction.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:44 +0900] "GET /VapeWeb/main.do HTTP/1.1" 200 8979
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:44 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:45 +0900] "GET /VapeWeb/communityListAction.do?page=1 HTTP/1.1" 200 11467
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:45 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:53:46 +0900] "GET /VapeWeb/communityWrite.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:55:09 +0900] "GET /VapeWeb/main.do HTTP/1.1" 200 8979
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:55:10 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:55:11 +0900] "GET /VapeWeb/communityListAction.do?page=1 HTTP/1.1" 200 11467
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:55:11 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:55:12 +0900] "GET /VapeWeb/communityWrite.do HTTP/1.1" 200 -
